Method,Rank,Train Time (s),Inference (ms),Setup (ms),Solve (ms),Total (ms),25th Percentile (ms),75th Percentile (ms),Median Iterations
MLP_Nested,2,425.45648520899977,39.986833500051944,0.19552100002329098,23.565999999959786,80.77793750021556,74.45318674999157,94.44244724994633,58.0
MLP_Nested,4,425.45648520899977,39.986833500051944,0.2315414999998211,44.62529149998318,104.2045414999393,92.08594724987051,127.71060399973067,56.0
MLP_Nested,6,425.45648520899977,39.986833500051944,0.2697915000453577,40.12104150001505,100.4256040000655,90.57130224982757,116.58908399988377,53.0
MLP_Nested,8,425.45648520899977,39.986833500051944,0.43212449998009106,38.62433349991079,98.62666800017905,88.68589574984753,112.3980615001301,50.0
MLP_Nested,10,425.45648520899977,39.986833500051944,0.5423750000090877,38.5620624999774,100.9816045000207,88.92177000004153,113.88255200017738,49.0
MLP_Nested,12,425.45648520899977,39.986833500051944,0.5953119999730916,37.67283350003936,96.1896244999707,88.26584500030776,108.5478537499398,47.0
MLP_Nested,14,425.45648520899977,39.986833500051944,0.6513544999506848,37.77422899997873,101.30270900015148,88.24027225000464,118.94095774994184,44.0
MLP_Nested,20,425.45648520899977,39.986833500051944,0.8674380000002202,32.286770500036255,90.56770800009417,82.65175975000716,112.65261475000443,37.0
MLP_Nested,24,425.45648520899977,39.986833500051944,0.9748745001161296,29.113875000007283,88.57510500001808,80.24833324986957,108.89887425003053,33.0
MLP_Nested,26,425.45648520899977,39.986833500051944,1.0136460000467196,27.178332999937993,89.85043799987125,78.05085349997398,108.3417807501803,30.0
MLP_Nested,28,425.45648520899977,39.986833500051944,1.1483334999411454,27.652979499976027,87.34179099997164,79.03201050004327,105.03279124989717,29.0
MLP_Nested,30,425.45648520899977,39.986833500051944,1.1177709999401486,25.929479499950503,85.69985399998359,77.31783275022508,103.22325024986867,27.0
MLP_Nested,32,425.45648520899977,39.986833500051944,1.0656875000449872,24.0618754999673,85.629145999917,75.35213574982436,102.5016560000438,26.0
MLP_Nested,36,425.45648520899977,39.986833500051944,1.3786879999315715,26.019749999932174,86.16866600004869,77.18684399986842,100.94336475003729,24.0
MLP_Nested,40,425.45648520899977,39.986833500051944,1.4516455000261885,23.895687500044005,85.3920625002047,75.32793750021938,104.07596925006146,23.0
MLP_Nested,44,425.45648520899977,39.986833500051944,1.6211244999340124,24.680207999949744,85.37429199986946,77.97051075004902,100.71437449977338,22.0
MLP_Nested,48,425.45648520899977,39.986833500051944,1.7996454999433809,24.410916499959967,85.87354200005848,76.0789060000775,103.9454072498529,21.0
MLP_Nested,52,425.45648520899977,39.986833500051944,2.0782709999593862,25.480583499927434,87.28379250010221,76.88482324982715,107.54185375006386,20.0
MLP_Nested,56,425.45648520899977,39.986833500051944,2.3388544999534133,24.733208499981174,87.79702099997166,76.6575530004161,101.40114650005216,20.0
MLP_Nested,60,425.45648520899977,39.986833500051944,1.9951460000129373,25.847021000004133,87.02985449997414,77.08585350010821,103.188521500158,20.0
MLP_Nested,64,425.45648520899977,39.986833500051944,1.9511460000103398,29.176042000017333,89.71543749999,81.31889575005857,104.24818674991343,20.0
MLP_Nested,68,425.45648520899977,39.986833500051944,2.1935414999916247,27.929437500006316,87.19922949990178,80.11506175000704,103.59540624986607,19.0
MLP_Nested,72,425.45648520899977,39.986833500051944,2.461416499954794,29.288332999954036,92.62097899977562,80.53071825003144,106.65644849990485,19.0
