Method,Rank,Train Time (s),Inference (ms),Setup (ms),Solve (ms),Total (ms),25th Percentile (ms),75th Percentile (ms),Median Iterations
MLP_Nested,2,490.2612732920006,33.534957999989956,0.1923334999922588,22.65329199998689,74.94787499996391,67.99690625005184,94.90777050000787,52.5
MLP_Nested,4,490.2612732920006,33.534957999989956,0.23839599998609629,40.273021000004405,93.63556250001359,85.40631224997242,112.32027099999797,48.5
MLP_Nested,6,490.2612732920006,33.534957999989956,0.2711040000136222,43.29358350000234,97.1179999999805,85.87298925002074,109.79247875008014,48.0
MLP_Nested,8,490.2612732920006,33.534957999989956,0.5031044999839196,43.215937499994084,99.21737450002865,86.58568750007589,112.5991040000045,47.0
MLP_Nested,10,490.2612732920006,33.534957999989956,0.5184789999930217,40.91127050000409,95.49310450003645,82.0627082499783,107.7381762500238,43.0
MLP_Nested,12,490.2612732920006,33.534957999989956,0.6524164999746063,38.45202099998346,93.86266650001573,82.85932299997256,105.0236562499407,42.0
MLP_Nested,14,490.2612732920006,33.534957999989956,0.7328125000034547,39.95589550001455,93.38712450002618,82.31771899997398,109.61167749988476,40.0
MLP_Nested,20,490.2612732920006,33.534957999989956,1.0203750000101763,32.01083299998686,89.6991254999513,76.12195775021036,105.34175000003643,32.0
MLP_Nested,24,490.2612732920006,33.534957999989956,1.0714374999984955,32.66943750001872,86.41427200002738,76.35046800000467,101.89232350001731,29.0
MLP_Nested,26,490.2612732920006,33.534957999989956,1.2149995000072522,29.579312500061405,83.57406249998789,73.94909324998977,98.74214474999476,27.0
MLP_Nested,28,490.2612732920006,33.534957999989956,1.247541499999727,30.285146000004204,85.10477149997087,73.81108374997325,95.53060425000659,26.0
MLP_Nested,30,490.2612732920006,33.534957999989956,1.253542000000607,30.178020999954924,84.21739549996232,75.41712499999065,99.83697799998481,25.0
MLP_Nested,32,490.2612732920006,33.534957999989956,1.1459374999702732,27.86710450001806,82.32637499996542,73.79958350001914,97.69413499995494,24.0
MLP_Nested,36,490.2612732920006,33.534957999989956,1.4159164999938412,25.76931250001735,79.77643699998538,71.35871824998219,94.03392650001763,22.5
MLP_Nested,40,490.2612732920006,33.534957999989956,1.5247709999997028,26.85847900000482,79.97200099999446,72.12951000001766,95.41854099997948,21.0
MLP_Nested,44,490.2612732920006,33.534957999989956,1.6889579999883608,27.40791650006713,80.93139650003423,72.1531150000061,96.00614724996603,20.0
MLP_Nested,48,490.2612732920006,33.534957999989956,1.930500000003832,28.680812499970898,83.88627049993147,73.22173925000186,97.41186400002277,19.0
MLP_Nested,52,490.2612732920006,33.534957999989956,2.260000000006812,26.082604000009724,82.49299999998527,74.60211600000832,97.21046800001432,18.5
MLP_Nested,56,490.2612732920006,33.534957999989956,2.3108329999956823,27.288958499992688,81.86787500000747,75.39213600001915,96.44209450003416,18.0
MLP_Nested,60,490.2612732920006,33.534957999989956,2.0788130000397587,27.788020999992114,82.41131299998017,74.51907349999765,97.32639450010794,18.0
MLP_Nested,64,490.2612732920006,33.534957999989956,1.9487290000199664,30.685062500005245,84.9718754999742,78.00027049995961,92.90456150002413,18.0
MLP_Nested,68,490.2612732920006,33.534957999989956,2.6006045000315225,28.28441649998581,85.01352050001287,75.31672975004966,97.10006249994763,17.0
MLP_Nested,72,490.2612732920006,33.534957999989956,2.742125000011697,27.84933299999537,82.15993700000013,75.67799050004709,94.65566700001915,17.0
MLP_Unnested,2,479.569324832999,34.81416649999858,0.18666699998703962,22.546937499996034,76.09506250001274,69.58671724998311,91.05112500001411,51.0
MLP_Unnested,4,479.569324832999,34.81416649999858,0.25502099995478034,43.307687499993364,98.6133954999815,87.40190574994244,113.24316674993895,52.0
MLP_Unnested,6,479.569324832999,34.81416649999858,0.346625000005929,47.944937999972126,103.6149170000158,85.77139574997261,116.39126049997373,51.0
MLP_Unnested,8,479.569324832999,34.81416649999858,0.500500000001125,43.86618750001503,101.30639550001774,90.82906224998766,117.68030274999575,50.0
MLP_Unnested,10,479.569324832999,34.81416649999858,0.5125624999919864,45.09549999999507,101.516292000003,88.26891649998458,118.38248949986507,50.0
MLP_Unnested,12,479.569324832999,34.81416649999858,0.6200415000421344,46.164750500011564,102.73031300005186,91.73116725000163,116.11450099999843,49.0
MLP_Unnested,14,479.569324832999,34.81416649999858,0.7194789999829254,46.55024949995834,105.02850050005463,91.75119724997671,117.17593724993947,49.0
MLP_Unnested,20,479.569324832999,34.81416649999858,1.01225000003069,50.88720799997759,105.7832295000054,92.77935349995303,123.7184897499759,47.5
MLP_Unnested,24,479.569324832999,34.81416649999858,1.0733125000115251,50.846208500018975,106.55518699998368,92.7742702499863,129.6685417498935,45.0
MLP_Unnested,26,479.569324832999,34.81416649999858,1.0937710000042955,50.13593750003764,104.8847290000281,95.17533450001281,124.52946925000674,45.0
MLP_Unnested,28,479.569324832999,34.81416649999858,1.100541999988991,49.34822949999784,104.92624999997346,90.7211872499829,124.74793725004929,45.0
MLP_Unnested,30,479.569324832999,34.81416649999858,1.0853540000148598,47.238312500013535,101.64006200000131,90.87795899999662,123.15557299996271,44.0
MLP_Unnested,32,479.569324832999,34.81416649999858,1.1346040000148605,46.247937500005776,106.9136055000115,90.1527482500093,123.38589649996123,43.0
MLP_Unnested,36,479.569324832999,34.81416649999858,1.4487915000245266,48.871104499994544,107.49412599996333,94.07035424999322,122.43720749992804,43.0
MLP_Unnested,40,479.569324832999,34.81416649999858,1.5626039999769858,48.3891250000168,103.2188550000015,92.67816799994932,123.01142649995711,42.0
MLP_Unnested,44,479.569324832999,34.81416649999858,1.68720800000699,47.37079200003791,105.20072900000343,92.60138525006312,119.38358274998961,39.0
MLP_Unnested,48,479.569324832999,34.81416649999858,1.8425829999912935,49.98093750000976,108.24262500005943,92.54707350000047,121.81511449995241,37.0
MLP_Unnested,52,479.569324832999,34.81416649999858,2.0491875000061555,52.6150624999957,112.29902099994149,95.97376099996069,124.91754300002312,36.0
MLP_Unnested,56,479.569324832999,34.81416649999858,2.2208329999955367,48.72587500001657,106.08337549999192,93.90903099998127,124.28631299992787,34.0
MLP_Unnested,60,479.569324832999,34.81416649999858,2.064750000016602,48.064416500011475,105.95218699997844,95.39160349999243,120.83816624992494,30.0
MLP_Unnested,64,479.569324832999,34.81416649999858,2.0212085000110847,45.51391649998493,101.95847849999495,94.75829100002642,116.70827149999496,27.0
MLP_Unnested,68,479.569324832999,34.81416649999858,2.2425624999868887,38.966042000026846,97.73843899994006,85.19030124996618,110.50899024992589,24.0
MLP_Unnested,72,479.569324832999,34.81416649999858,2.6842709999925773,29.077312499978802,87.96272849997422,78.1786242499578,101.51731300000932,17.5
GNN,2,3693.217837542001,704.5172914999966,0.24712500000489968,20.548208499974407,749.6867095000539,727.9655732500121,769.6303014999728,47.0
GNN,4,3693.217837542001,704.5172914999966,0.3074370000035742,42.91229150004483,769.0294160000093,745.4345102499786,790.0295509999609,47.0
GNN,6,3693.217837542001,704.5172914999966,0.4015210000041236,41.70331250001169,765.4646245000265,745.4684174999784,794.9852494999518,47.0
GNN,8,3693.217837542001,704.5172914999966,0.5668125000042323,44.046020999957136,767.4954795000133,747.4435939998898,797.0987077500098,47.0
GNN,10,3693.217837542001,704.5172914999966,0.6244165000168778,45.667854000001284,770.5053545000098,746.610010999909,798.6766544999462,47.0
GNN,12,3693.217837542001,704.5172914999966,0.8125624999877346,46.00431249999559,771.6048965000368,749.6612810000478,808.2559889999885,46.5
GNN,14,3693.217837542001,704.5172914999966,0.7992710000053194,47.18433400003619,774.8185414999682,755.0854474999973,798.845770749999,47.0
GNN,20,3693.217837542001,704.5172914999966,1.0704789999920195,48.28347950000733,780.0559994999929,753.5727389999885,798.8180634999828,47.0
GNN,24,3693.217837542001,704.5172914999966,1.2621870000089075,52.69422900000098,777.9161250000151,759.1973949999602,812.6624684999583,47.0
GNN,26,3693.217837542001,704.5172914999966,1.1746245000097133,52.67683350001562,779.0703750000318,760.4690719999496,810.9533852500235,47.0
GNN,28,3693.217837542001,704.5172914999966,1.296708500007071,53.44181299999207,784.2442720000662,755.9695205000025,814.7857914999647,47.0
GNN,30,3693.217837542001,704.5172914999966,1.2925624999979846,53.7167499999498,781.7933324999799,757.1310107499692,815.63797999992,47.0
GNN,32,3693.217837542001,704.5172914999966,1.2388544999737405,56.550187499993854,785.0956034999541,760.0497392500216,810.1226137499325,47.0
GNN,36,3693.217837542001,704.5172914999966,1.5457915000212097,58.07645799998795,783.0952914999898,767.0304885000689,818.1819690000083,47.0
GNN,40,3693.217837542001,704.5172914999966,1.617979000009484,61.80868750001878,795.2829799999677,764.7937075000079,813.3117292499987,47.0
GNN,44,3693.217837542001,704.5172914999966,1.8997495000405706,67.20439599999395,792.563083999994,773.4688544999813,815.027207,47.0
GNN,48,3693.217837542001,704.5172914999966,1.8518960000051266,65.43797949998975,795.7868545000224,774.0807195000112,820.388989750036,47.0
GNN,52,3693.217837542001,704.5172914999966,2.2671664999851515,72.25104149999595,801.8687909999471,777.6280517499856,838.8332812499897,47.0
GNN,56,3693.217837542001,704.5172914999966,2.214791999998411,71.45706250000217,794.8860204999733,780.1420947500119,828.3210517499953,47.0
GNN,60,3693.217837542001,704.5172914999966,2.332583000026034,75.07235400001377,804.533458499999,777.785488750002,834.4224587498843,47.0
GNN,64,3693.217837542001,704.5172914999966,2.2910414999728346,80.25825000001419,809.0414985000223,785.1603330000074,850.8463434999811,47.0
GNN,68,3693.217837542001,704.5172914999966,2.566083500006755,82.43220800000017,813.7131870000047,787.106365500037,845.9916457499332,47.0
GNN,72,3693.217837542001,704.5172914999966,2.424437500003762,82.22727050002732,809.7477715000352,788.2976667499761,846.9185524999965,47.0
Oracle_SVD,2,0.0,8.754812500001208,0.44485400002258757,23.869416500019724,51.51404150001326,48.253843750003966,62.3898740000044,52.5
Oracle_SVD,4,0.0,8.754812500001208,0.2645829999785576,40.132708500024705,67.90100050000092,57.1704789999643,88.37185324999774,52.5
Oracle_SVD,6,0.0,8.754812500001208,0.3903960000215534,45.8298124999601,74.52735499998653,65.05747799996442,88.91628099993198,52.0
Oracle_SVD,8,0.0,8.754812500001208,0.5615209999945137,45.42656250000476,74.69672949996209,64.79521875004934,95.29809250000909,52.0
Oracle_SVD,10,0.0,8.754812500001208,0.621916499994768,47.7670415000091,80.37893649999894,67.15058300004273,95.6881450000262,51.0
Oracle_SVD,12,0.0,8.754812500001208,0.7510414999813975,50.677145999998174,80.55877049999793,69.57887449999589,98.38412499996707,51.0
Oracle_SVD,14,0.0,8.754812500001208,0.8036254999979064,49.055459000015844,77.83291650000024,67.86812425001187,95.08118674995103,50.0
Oracle_SVD,20,0.0,8.754812500001208,1.1955000000156701,55.64404149998836,85.04850000002762,71.0100625000063,100.22708375000455,49.5
Oracle_SVD,24,0.0,8.754812500001208,1.2445624999983806,58.52285400000312,90.00835500000903,73.48048974998633,108.89754125013162,49.0
Oracle_SVD,26,0.0,8.754812500001208,1.1807909999959065,54.892291999976806,86.20685400005357,72.39067774999342,110.71435449999356,49.0
Oracle_SVD,28,0.0,8.754812500001208,1.3242909999959807,55.39487549997091,86.0066679999818,75.62150049987792,106.50099950004233,48.5
Oracle_SVD,30,0.0,8.754812500001208,1.2619374999900401,57.95006249999801,89.67081249999609,74.61572950006712,107.97091649993718,48.0
Oracle_SVD,32,0.0,8.754812500001208,1.3200834999906874,57.260250000013,89.84116649997986,75.37510449996176,107.23336450000632,47.5
Oracle_SVD,36,0.0,8.754812500001208,1.530645499997263,62.22520849999569,93.13549949996514,79.41542675004598,112.55404174998773,47.5
Oracle_SVD,40,0.0,8.754812500001208,1.6461465000041642,59.31856200000141,91.7851879999887,76.7062715000364,108.43208299999674,47.0
Oracle_SVD,44,0.0,8.754812500001208,1.7985210000119878,60.01602050004351,90.85360400007403,79.07526950001653,111.90215674999138,46.5
Oracle_SVD,48,0.0,8.754812500001208,2.080291500000442,68.56858349999584,100.65610450001117,84.2532394999651,117.43947825004852,46.0
Oracle_SVD,52,0.0,8.754812500001208,2.503999999980522,66.77333350000936,99.37629199997389,86.64886425002294,113.63102025003968,46.0
Oracle_SVD,56,0.0,8.754812500001208,2.246916499991869,72.26137499998408,104.42577149993326,88.00468625001656,128.07164649994718,45.0
Oracle_SVD,60,0.0,8.754812500001208,2.3421045000588947,75.32422949999784,107.7734999999933,90.50383300004228,130.6837287499789,45.0
Oracle_SVD,64,0.0,8.754812500001208,1.9760829999881935,77.38987499999439,109.43962400000373,94.42712425007471,133.04322750001774,45.0
Oracle_SVD,68,0.0,8.754812500001208,2.5036250000312066,76.64124950001394,108.4098124999997,97.06228025000385,135.67098900006158,44.0
Oracle_SVD,72,0.0,8.754812500001208,2.431438000058961,78.3178960000015,107.90691700003663,93.77214500000797,128.55606299993917,44.5
PyAMG_SA,auto,0.0,15.730021000010197,41.53400000001195,71.62856300000442,127.67016700001221,117.9701975000178,155.76812524996342,9.0
